ID_Transaccion;Fecha;Tipo_Movimiento;ID_Producto;Nombre_Producto;Cantidad;Costo_Unitario;Precio_Venta_Unitario;Origen;Proveedor_Cliente
1;2022-01-01;Venta;PROD-007;SSD 1TB;-46;0.0;129.09;Venta;PC Gamers World
2;2022-01-01;Venta;PROD-003;Tarjeta Gráfica Eco;-44;0.0;159.18;Venta;Global Office
3;2022-01-01;Produccion;PROD-002;Portátil Z1 Pro;66;442.56;0.0;Fabricacion;N/A
4;2022-01-01;Produccion;PROD-009;Monitor Curvo 27'';59;149.0;0.0;Fabricacion;N/A
5;2022-01-01;Venta;PROD-010;Webcam HD Pro;-14;0.0;59.77;Venta;Venta Directa Online
6;2022-01-01;Venta;PROD-003;Tarjeta Gráfica Eco;-50;0.0;158.67;Venta;PC Gamers World
7;2022-01-01;Venta;PROD-007;SSD 1TB;-23;0.0;129.4;Venta;Global Office
8;2022-01-02;Venta;PROD-007;SSD 1TB;-36;0.0;130.95;Venta;PC Gamers World
9;2022-01-02;Compra;PROD-008;Batería Larga Duración;193;45.98;0.0;Compra;Componentes Globales
10;2022-01-02;Venta;PROD-009;Monitor Curvo 27'';-31;0.0;296.14;Venta;PC Gamers World
11;2022-01-02;Produccion;PROD-002;Portátil Z1 Pro;41;450.58;0.0;Fabricacion;N/A
12;2022-01-02;Produccion;PROD-002;Portátil Z1 Pro;20;451.29;0.0;Fabricacion;N/A
13;2022-01-02;Produccion;PROD-001;Portátil Z1;65;246.27;0.0;Fabricacion;N/A
14;2022-01-02;Produccion;PROD-002;Portátil Z1 Pro;70;455.07;0.0;Fabricacion;N/A
15;2022-01-03;Compra;PROD-008;Batería Larga Duración;299;45.85;0.0;Compra;VisionParts
16;2022-01-03;Compra;PROD-003;Tarjeta Gráfica Eco;250;85.49;0.0;Compra;TechSupplies Inc.
17;2022-01-03;Venta;PROD-006;SSD 512GB;-25;0.0;79.4;Venta;Venta Directa Online
18;2022-01-03;Venta;PROD-006;SSD 512GB;-49;0.0;79.52;Venta;CorpTech Solutions
19;2022-01-03;Venta;PROD-005;Procesador Gama;-38;0.0;221.3;Venta;CorpTech Solutions
20;2022-01-03;Venta;PROD-007;SSD 1TB;-5;0.0;129.21;Venta;Venta Directa Online
21;2022-01-03;Venta;PROD-005;Procesador Gamma;-17;0.0;219.89;Venta;CorpTech Solutions
22;2022-01-04;Compra;PROD-007;SSD 1TB;234;65.56;0.0;Compra;TechSupplies Inc.
23;2022-01-04;Compra;PROD-008;Batería Larga Duración;190;45.21;0.0;Compra;Componentes Globales
24;2022-01-04;Venta;PROD-001;Portátil Z1;-29;0.0;500.47;Venta;Venta Directa Online
25;2022-01-04;Venta;PROD-003;Tarjeta Gráfica Eco;-26;0.0;159.93;Venta;CorpTech Solutions
26;2022-01-04;Compra;PROD-008;Batería Larga Duración;52;44.83;0.0;Compra;VisionParts
27;2022-01-04;Compra;PROD-006;SSD 512GB;277;35.34;0.0;Compra;TechSupplies Inc.
28;2022-01-04;Compra;PROD-007;SSD 1TB;242;66.65;0.0;Compra;PowerCell Co.
29;2022-01-05;Venta;PROD-007;SSD 1TB;-47;0.0;129.79;Venta;PC Gamers World
30;2022-01-05;Produccion;PROD-001;Portátil Z1;85;248.69;0.0;Fabricacion;N/A
31;2022-01-05;Venta;PROD-001;Portátil Z1;-10;0.0;502.3;Venta;Global Office
32;2022-01-05;Compra;PROD-005;Procesador Gamma;292;119.41;0.0;Compra;VisionParts
33;2022-01-05;Compra;PROD-003;Tarjeta Gráfica Eco;174;86.98;0.0;Compra;Componentes Globales
34;2022-01-05;Compra;PROD-010;Webcam HD Pro;176;25.32;0.0;Compra;TechSupplies Inc.
35;2022-01-05;Venta;PROD-010;Webcam HD Pro;-30;0.0;60.35;Venta;Global Office
36;2022-01-06;Compra;PROD-006;SSD 512GB;244;35.61;0.0;Compra;TechSupplies Inc.
37;2022-01-06;Compra;PROD-005;Procesador Gamma;277;118.82;0.0;Compra;TechSupplies Inc.
38;2022-01-06;Venta;PROD-003;Tarjeta Gráfica Eco;-49;0.0;159.3;Venta;Global Office
39;2022-01-06;Venta;PROD-009;Monitor Curvo 27'';-29;0.0;300.58;Venta;CorpTech Solutions
